2020-05-31 19:17:54.351 | restartedMain | INFO  | com.hitenine.Twitter01Application : Started Twitter01Application in 3.225 seconds (JVM running for 180.814)
2020-05-31 19:17:57.293 | http-nio-8080-exec-3 | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-31 19:17:57.302 | http-nio-8080-exec-3 | INFO  | o.a.s.session.mgt.AbstractValidatingSessionManager : Enabling session validation scheduler...
2020-05-31 19:17:57.445 | http-nio-8080-exec-3 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-3} inited
2020-05-31 19:18:04.847 | SpringContextShutdownHook | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-3} closing ...
2020-05-31 19:18:04.850 | SpringContextShutdownHook | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-3} closed
2020-05-31 19:18:07.987 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 18148 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:18:07.989 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:18:10.477 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2020-05-31 19:18:10.477 | restartedMain | INFO  | org.apache.catalina.core.StandardService : Starting service [Tomcat]
2020-05-31 19:18:10.478 | restartedMain | INFO  | org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-05-31 19:18:10.575 | restartedMain | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2020-05-31 19:18:11.165 | restartedMain | INFO  | s.d.s.w.PropertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-05-31 19:18:13.914 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2020-05-31 19:18:13.935 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Context refreshed
2020-05-31 19:18:13.954 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2020-05-31 19:18:13.991 | restartedMain | INFO  | s.d.spring.web.scanners.ApiListingReferenceScanner : Scanning for api listing references
2020-05-31 19:18:14.006 | http-nio-8080-exec-2 | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-31 19:18:14.030 | http-nio-8080-exec-2 | INFO  | o.a.s.session.mgt.AbstractValidatingSessionManager : Enabling session validation scheduler...
2020-05-31 19:18:14.228 | restartedMain | INFO  | com.hitenine.Twitter01Application : Started Twitter01Application in 6.815 seconds (JVM running for 7.808)
2020-05-31 19:18:14.546 | http-nio-8080-exec-2 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-1} inited
2020-05-31 19:18:35.616 | Thread-214 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-1} closing ...
2020-05-31 19:18:35.621 | Thread-214 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-1} closed
2020-05-31 19:18:35.856 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 18148 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:18:35.856 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:18:36.831 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2020-05-31 19:18:36.832 | restartedMain | INFO  | org.apache.catalina.core.StandardService : Starting service [Tomcat]
2020-05-31 19:18:36.832 | restartedMain | INFO  | org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-05-31 19:18:36.852 | restartedMain | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2020-05-31 19:18:36.958 | restartedMain | INFO  | s.d.s.w.PropertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2020-05-31 19:18:38.101 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2020-05-31 19:18:38.104 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Context refreshed
2020-05-31 19:18:38.104 | restartedMain | INFO  | s.d.s.web.plugins.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2020-05-31 19:18:38.108 | restartedMain | INFO  | s.d.spring.web.scanners.ApiListingReferenceScanner : Scanning for api listing references
2020-05-31 19:18:38.117 | restartedMain | INFO  | com.hitenine.Twitter01Application : Started Twitter01Application in 2.31 seconds (JVM running for 31.698)
2020-05-31 19:18:42.742 | Thread-229 | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-0} closing ...
2020-05-31 19:18:43.057 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 18148 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:18:43.057 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
2020-05-31 19:18:43.455 | restartedMain | INFO  | org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2020-05-31 19:18:43.455 | restartedMain | INFO  | org.apache.catalina.core.StandardService : Starting service [Tomcat]
2020-05-31 19:18:43.455 | restartedMain | INFO  | org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-05-31 19:18:43.478 | restartedMain | INFO  | o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2020-05-31 19:18:43.651 | restartedMain | INFO  | com.alibaba.druid.pool.DruidDataSource : {dataSource-0} closing ...
2020-05-31 19:18:43.652 | restartedMain | INFO  | org.apache.catalina.core.StandardService : Stopping service [Tomcat]
2020-05-31 19:18:45.545 | restartedMain | INFO  | com.hitenine.Twitter01Application : Starting Twitter01Application on Hitenine with PID 18148 (D:\IdeaProjects\twitter01\target\classes started by Hitenine in D:\IdeaProjects\twitter01)
2020-05-31 19:18:45.545 | restartedMain | INFO  | com.hitenine.Twitter01Application : The following profiles are active: dev
